X1,X2,em_cluster,kmeans_cluster,perplexity,training_time,y
24.410627,69.71629,1,0,2,102.7978995,1
86.256134,62.361565,0,1,2,102.7978995,0
52.753304,-61.01191,0,1,2,102.7978995,1
-33.727783,-66.41624,1,0,2,102.7978995,0
-65.146385,-28.54363,0,1,2,102.7978995,0
-91.184814,11.931333,1,0,2,102.7978995,0
93.62231,57.793972,0,1,2,102.7978995,0
62.515427,39.424316,0,1,2,102.7978995,0
46.124638,-10.408118,0,1,2,102.7978995,0
71.850296,27.272,1,0,2,102.7978995,1
48.701794,59.740887,1,0,2,102.7978995,1
-58.246456,64.05865,1,0,2,102.7978995,0
-8.498226,-84.013855,0,1,2,102.7978995,1
-56.954803,42.411682,1,0,2,102.7978995,0
14.785576,-17.25536,1,0,2,102.7978995,1
68.91983,-35.936604,0,1,2,102.7978995,0
34.715317,97.835434,0,1,2,102.7978995,0
-28.206787,-51.490944,1,0,2,102.7978995,1
8.411941,-29.557201,0,1,2,102.7978995,0
-40.956867,85.62324,0,1,2,102.7978995,1
-91.57428,40.154537,0,1,2,102.7978995,0
-45.21746,-98.96084,1,0,2,102.7978995,0
2.2716048,19.698593,0,1,2,102.7978995,0
21.96057,84.32978,0,1,2,102.7978995,0
89.044266,-23.360233,1,0,2,102.7978995,0
-27.452,-103.84803,1,0,2,102.7978995,0
36.591446,-81.01014,0,1,2,102.7978995,0
-52.391026,19.264822,0,1,2,102.7978995,0
-92.13054,-28.769663,1,0,2,102.7978995,1
-49.935722,4.5894036,0,1,2,102.7978995,0
15.401663,37.69208,0,1,2,102.7978995,0
-37.375534,40.07245,0,1,2,102.7978995,0
43.257973,70.943016,0,1,2,102.7978995,0
-41.620407,-16.188892,0,1,2,102.7978995,0
22.928602,16.020435,0,1,2,102.7978995,0
4.8095717,-34.568695,0,1,2,102.7978995,0
-32.65204,40.366272,0,1,2,102.7978995,0
-35.275547,78.29303,0,1,2,102.7978995,0
8.989317,-56.14198,1,0,2,102.7978995,0
5.620546,52.688923,0,1,2,102.7978995,0
-33.94721,-36.84486,1,0,2,102.7978995,1
-24.922428,56.572395,0,1,2,102.7978995,0
15.502022,66.23565,0,1,2,102.7978995,0
67.64454,-62.66703,1,0,2,102.7978995,0
19.423353,60.083065,1,0,2,102.7978995,0
-25.03655,1.2251228,0,1,2,102.7978995,0
4.081194,-74.09646,0,1,2,102.7978995,0
