,X1,X2,y,algorithm
0,2.041996914383725,-1.8744809634145252,1,pca
1,-0.7157948936009417,-1.2591911002839515,0,pca
2,0.1774934547549981,1.435418280242884,1,pca
3,2.671924630423193,1.7224438084175104,0,pca
4,-2.6214167189844684,-0.8753330877420917,0,pca
5,2.077754714706113,-1.4602370901658617,0,pca
6,-0.670056421951845,-1.3215640529755532,0,pca
7,-0.9848145311224178,-1.306991640807606,0,pca
8,-2.7157038092351646,0.6676228943008679,0,pca
9,2.549640783494089,1.2117983749102343,1,pca
10,2.7200745772451658,0.8248746142704461,1,pca
11,2.0951888343321796,-0.7216567604360775,0,pca
12,0.5990836385512598,4.7258424173016556,1,pca
13,1.807306146850401,-2.4738755475771788,0,pca
14,2.8400664852005852,0.5933399950672069,1,pca
15,-0.9159420405373386,-1.877590817824463,0,pca
16,-2.7791275245479627,-1.69128067842737,0,pca
17,3.016065966959053,-0.27238872784615276,1,pca
18,-1.8493347223262224,-2.632429998326903,0,pca
19,0.16133324088943576,2.5439009415116387,1,pca
20,-2.1176643035658067,0.9152502577535515,0,pca
21,2.581078609790729,1.2391479339537868,0,pca
22,-2.9142402942612304,-0.40192603616541134,0,pca
23,-2.2399291792006397,1.6101160789005085,0,pca
24,2.397650140139279,-1.8007637246110113,0,pca
25,2.426178734074111,0.2713381026771036,0,pca
26,-2.6890720436305244,-0.372204930664048,0,pca
27,-0.6985987501736897,0.4251496028717917,0,pca
28,1.523277507185173,-1.6432446875234055,1,pca
29,-3.263821866922326,0.14480968694048416,0,pca
30,-2.4343861564139577,0.1995913411071534,0,pca
31,-2.7203145600799377,-0.11735754809935121,0,pca
32,-1.5448366978048254,-1.556143874999641,0,pca
33,-1.610876418913785,-2.93598442384587,0,pca
34,-1.6635838656217354,1.4995995051496707,0,pca
35,-2.0099494506072295,0.35177690400200595,0,pca
36,-2.099003247133922,1.8510676220328353,0,pca
37,-1.0740205743074607,-2.6611445142879093,0,pca
38,2.49140072534642,0.2770929267107043,0,pca
39,-1.6039789064008798,2.275641461783322,0,pca
40,3.236629505688772,1.2292091365247186,1,pca
41,-1.372773745213323,-0.9770626207783427,0,pca
42,0.12363316698091205,-0.011356491142272898,0,pca
43,1.1829276288318447,-0.6741606108079704,0,pca
44,1.9641414981792182,-1.9082017057480487,0,pca
45,-2.0328713508943985,0.8838362404106839,0,pca
46,-1.559096751008939,1.9253498064151098,0,pca
47,2.7656898636520717,0.1447733497759407,0,pca
48,-3.7650134352728997,-0.6984688795566348,0,pca
49,2.073207987743168,-0.25258086894390064,0,pca
50,-1.997001924420114,0.3857475703246488,0,pca
51,2.714124593864849,1.748060152131005,1,pca
52,-2.3278532668992273,2.715842131802271,0,pca
53,-0.516219964186806,-0.6441575962010738,0,pca
54,-1.8066129528385149,-1.2755550877722444,0,pca
55,-3.1428544037466244,-0.6760566842256283,0,pca
56,-3.067421212840059,-0.04980946953976727,0,pca
57,2.131864474223767,-1.6882008985739696,1,pca
58,-0.5103472436740442,-1.838133177146782,0,pca
59,-2.206381432194656,0.041941051977304675,0,pca
60,-2.418230075584836,-2.851524367761311,0,pca
61,-2.8493087166377284,-0.017010833770153583,0,pca
62,-1.630988900455843,-0.815706503984332,0,pca
63,-1.8547900164316262,-3.296414043094024,0,pca
64,-0.6128230507871439,0.35658182458417614,0,pca
65,-1.6429872133014691,-1.8092164146016791,0,pca
66,1.5381468674495944,-2.812660854622681,0,pca
67,-3.446149174483765,-1.678908612955329,0,pca
68,1.115717773320063,2.4905302357824732,0,pca
69,-1.000442554689497,0.09941248805928601,0,pca
70,1.8425205319607023,-0.9649794751014531,0,pca
71,2.617541946768084,0.605273274774014,0,pca
72,2.1007121812781118,-1.373820371935345,1,pca
73,1.6975626919332134,-1.6911146344387333,0,pca
74,2.710101617880215,1.2155201055596623,0,pca
75,-1.0890298022041707,-1.369980276757631,0,pca
76,2.4588390957175883,1.1737583899161157,1,pca
77,-3.679316855017618,0.10649061112427627,0,pca
78,1.7173235828337214,-0.4506545980913364,0,pca
79,-1.1308225947574642,-2.4174119224771506,0,pca
80,2.4650136635647293,-0.8045630451491572,0,pca
81,-0.2666567894549253,0.8819342773590705,0,pca
82,-2.078885835224951,0.7227873436669504,0,pca
83,-1.8051661230814362,1.2090210545555065,1,pca
84,-1.0692795888837665,0.6666697014423457,0,pca
85,-1.7145964839997427,-1.236249867747426,0,pca
86,-1.516083396707422,-1.575004181058893,0,pca
87,-2.755833859600823,0.18218528564083783,0,pca
88,0.6723695869895173,-1.78770425068229,0,pca
89,2.7719679463584748,-0.7019918468676953,0,pca
90,1.6715478268085862,-2.1863215407964183,0,pca
91,1.5019821026163827,-2.733976588230425,0,pca
92,1.2076798158745659,-1.8747464044886784,0,pca
93,-3.002532438819925,0.9723209452470386,0,pca
94,-2.077664426293638,-2.466527415201017,0,pca
95,2.90943572595311,1.2714987429499789,1,pca
96,-1.7715535321533307,1.2481159219217088,0,pca
97,2.3972324297627856,1.8438733718492668,0,pca
98,-0.3268669390614849,0.7464623453125658,0,pca
99,-0.09053049090253229,1.54815373627129,1,pca
100,-2.2481555624620793,3.3954339531540145,0,pca
101,-3.6160606437386256,-1.4790016000733102,0,pca
102,-0.8766413281875259,-0.4223374269175244,0,pca
103,-0.5502250676147337,1.0094308647318142,1,pca
104,2.178173920493906,-0.8132174553233636,0,pca
105,-1.0047399014147225,-2.034264195308842,0,pca
106,-1.7018775643237583,0.883764074834841,0,pca
107,3.722654611792743,2.751780136346843,1,pca
108,-2.6695363421678744,0.06425074863806157,0,pca
109,-2.7665195115613996,0.468818694723092,0,pca
110,-0.32545318451142474,0.8913102881691379,1,pca
111,-0.8422727641233315,-1.7312363710347116,0,pca
112,-0.5614872304873949,-1.7536981606222137,0,pca
113,2.1912003229232297,-1.5754181645023053,1,pca
114,2.424238212241286,0.9257502129431096,1,pca
115,-1.8371240632395596,-1.203966356519106,0,pca
116,-1.2828377879352615,-2.5330142558313167,0,pca
117,0.6445509544724828,4.9208400921173245,1,pca
118,2.3062226588645456,-1.0688416676566495,1,pca
119,1.4220627080265151,-0.5366285634760732,0,pca
120,-1.971476494257272,-1.7996265968550798,0,pca
